#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
6742691|2016-05-23T21:38:19.890000|42.4555|12.8917|7.6|BULLETIN-INGV||||ML|2.8|--|2 km SW Cantalice (RI)|earthquake
6765511|2016-05-30T20:24:20.460000|42.7003|11.9762|7.9|BULLETIN-INGV||||Mw|4.1|--|1 km SW Castel Giorgio (TR)|earthquake
6768331|2016-05-31T09:22:31.470000|42.7342|11.8587|5.8|BULLETIN-INGV||||ML|3.4|--|1 km SW Acquapendente (VT)|earthquake
6768461|2016-05-31T09:27:58.830000|42.7292|11.8797|6.8|BULLETIN-INGV||||ML|2.6|--|2 km SE Acquapendente (VT)|earthquake
6770531|2016-05-31T18:24:24.820000|42.7007|11.9532|7.6|BULLETIN-INGV||||ML|2.6|--|2 km W Castel Giorgio (TR)|earthquake
6770921|2016-05-31T20:31:30.520000|42.6938|11.9632|8.1|BULLETIN-INGV||||ML|3.0|--|2 km SW Castel Giorgio (TR)|earthquake
6771211|2016-05-31T21:47:03.350000|42.692|11.9622|6.0|BULLETIN-INGV||||ML|2.5|--|2 km SW Castel Giorgio (TR)|earthquake
6771901|2016-06-01T02:28:23.760000|42.6858|11.9502|5.7|BULLETIN-INGV||||ML|2.5|--|4 km E San Lorenzo Nuovo (VT)|earthquake
6771931|2016-06-01T02:29:43.660000|42.686|11.9448|6.3|BULLETIN-INGV||||ML|2.5|--|3 km E San Lorenzo Nuovo (VT)|earthquake
6776131|2016-06-02T03:27:00.870000|42.6918|11.9637|7.6|BULLETIN-INGV||||ML|3.2|--|2 km SW Castel Giorgio (TR)|earthquake
6853091|2016-06-21T07:38:03.340000|42.4627|13.258|13.7|BULLETIN-INGV||||ML|2.8|--|2 km NW Barete (AQ)|earthquake
7073641|2016-08-24T01:36:32.000000|42.6983|13.2335|8.1|BULLETIN-INGV||||Mw|6.0|--|1 km W Accumoli (RI)|earthquake
7073711|2016-08-24T01:37:26.580000|42.7123|13.2533|9.0|BULLETIN-INGV||||ML|4.5|--|2 km N Accumoli (RI)|earthquake
7073771|2016-08-24T01:40:46.590000|42.7647|13.1723|9.7|BULLETIN-INGV||||ML|3.2|--|7 km E Norcia (PG)|earthquake
7073781|2016-08-24T01:41:38.900000|42.7803|13.1683|9.7|BULLETIN-INGV||||ML|3.9|--|6 km E Norcia (PG)|earthquake
7073811|2016-08-24T01:42:07.170000|42.7798|13.1575|9.7|BULLETIN-INGV||||ML|3.6|--|5 km E Norcia (PG)|earthquake
7073841|2016-08-24T01:43:58.700000|42.7298|13.2137|10.7|BULLETIN-INGV||||ML|3.4|--|5 km NW Accumoli (RI)|earthquake
7073941|2016-08-24T01:44:38.660000|42.676|13.2858|10.8|BULLETIN-INGV||||ML|2.7|--|4 km SE Accumoli (RI)|earthquake
7073921|2016-08-24T01:44:56.400000|42.6282|13.2648|10.6|BULLETIN-INGV||||ML|3.2|--|2 km W Amatrice (RI)|earthquake
7073901|2016-08-24T01:46:12.240000|42.7645|13.1777|6.6|BULLETIN-INGV||||ML|3.7|--|8 km E Norcia (PG)|earthquake
7073891|2016-08-24T01:46:46.000000|42.7445|13.2097|12.4|BULLETIN-INGV||||ML|2.8|--|6 km NW Accumoli (RI)|earthquake
7073961|2016-08-24T01:47:51.540000|42.6675|13.3238|6.5|BULLETIN-INGV||||ML|3.3|--|5 km NE Amatrice (RI)|earthquake
7074031|2016-08-24T01:52:25.710000|42.7447|13.2827|7.9|BULLETIN-INGV||||ML|2.9|--|3 km SW Arquata del Tronto (AP)|earthquake
7074061|2016-08-24T01:52:43.210000|42.6378|13.2313|10.9|BULLETIN-INGV||||ML|3.1|--|5 km W Amatrice (RI)|earthquake
7074091|2016-08-24T01:55:20.400000|42.7895|13.1453|11.1|BULLETIN-INGV||||ML|3.0|--|4 km E Norcia (PG)|earthquake
7074131|2016-08-24T01:55:44.630000|42.7217|13.2497|6.3|BULLETIN-INGV||||ML|3.5|--|3 km N Accumoli (RI)|earthquake
7074171|2016-08-24T01:56:00.580000|42.6008|13.2763|7.7|BULLETIN-INGV||||Mw|4.3|--|3 km SW Amatrice (RI)|earthquake
7074291|2016-08-24T01:57:23.090000|42.7165|13.2208|8.5|BULLETIN-INGV||||ML|3.2|--|3 km NW Accumoli (RI)|earthquake
7074351|2016-08-24T01:59:23.630000|42.6307|13.2283|10.7|BULLETIN-INGV||||ML|2.8|--|5 km W Amatrice (RI)|earthquake
7074441|2016-08-24T02:00:00.450000|42.6125|13.2497|11.2|BULLETIN-INGV||||ML|2.9|--|4 km SW Amatrice (RI)|earthquake
7074411|2016-08-24T02:01:08.120000|42.7988|13.2412|6.9|BULLETIN-INGV||||ML|3.9|--|5 km NW Arquata del Tronto (AP)|earthquake
7074491|2016-08-24T02:03:56.210000|42.6253|13.2545|12.7|BULLETIN-INGV||||ML|2.6|--|3 km W Amatrice (RI)|earthquake
7074521|2016-08-24T02:04:05.850000|42.7928|13.1333|9.8|BULLETIN-INGV||||ML|2.8|--|3 km E Norcia (PG)|earthquake
7074551|2016-08-24T02:04:18.860000|42.7892|13.1233|10.1|BULLETIN-INGV||||ML|3.1|--|2 km E Norcia (PG)|earthquake
7074601|2016-08-24T02:04:50.450000|42.6322|13.3002|7.1|BULLETIN-INGV||||ML|2.9|--|1 km E Amatrice (RI)|earthquake
7074621|2016-08-24T02:05:55.860000|42.6162|13.2812|6.7|BULLETIN-INGV||||ML|3.9|--|2 km SW Amatrice (RI)|earthquake
